GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_dlc03_note_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00092759	このホロテープには X-8 Bio-Mechanical Splicing Terminalで使用する、ロボットとNightstalkerの接合データが記載されています
GID00092760	Y-17 Trauma Harnessは我々の予想以上の成功を収めた!実験用ハーネスは負傷した被験者の運動機能を代替し、本拠地へ“歩いて”戻すことができた。
GID00092761	それがより様々な行動パターンを見せるのに十分な神経-自動筋肉運動を記録した時点で、何が明らかになるか見なければならない... 考えた結果、それらが着用者の射撃や格闘の反射神経を複製するようにプログラムできれば、我々は戦争に貢献する本当に素晴らしいものを所有するだろう!
GID00092762	このテストでは、あなたは巡回するロボットに検知されることなく、経営者のオフィスの書類を盗まなくてはなりません。成功すればSupply Cabinetに賞品が送られます。
GID00092763	成功 ― 検知されずに経営者のオフィスへ到達し、書類を盗む。
GID00092764	失敗 ― 発見された。
GID00092765	私は、役員のうちの1人がシンクレアがそれを知っていたかどうかにかかわらず、シエラマドレがAuto-Docと革新的毒素の研究のための「テストケース」であると言うのを聞きました。 多分、彼らは冗談を言っていたのでしょう、しかし、その類の冗談さえ脊柱の下で寒気がします... 私がそれらの毒素の1つで汚染され、私の生命がそれに依存すれば、私がここのY-17 Auto-Docsの1つの中にはってもぐる手段はないでしょう。 それらのtrauma suitsためだけの医学技術は、私に彼らが研究を抹消してくれるよう願わせます - スーツは、中の人々より多くの考えをします。
GID00092766	最新の荷の被検体達による多数の死亡事故を考慮して、配送部は封鎖状態に入っています。この怪物の災いが対処されたら直ぐ、あなたへの配達を行なうため、適時で効率的な方法で超過勤務をするつもりだと言う事を、私は保証します。しかし、私が配送部の現在唯一の生き残りのメンバーであるため、まだ若干の遅れがあるかもしれません。その時まで、X-13 の Dr. Calis は、そのエリアのパスカードを持っています。
GID00092767	Skippy, 唯一の生存者
GID00092768	ドームとロボット達を監視するための無線機を組み立てている間に、施設の別の端の建物からきらめく光(スコープ?)を見た。
GID00092769	調べなければならない。見られていない事を確認せねば… あの運び屋かも?
GID00092770	しかし、彼は隠れるよりも真っ直ぐに来るだろう。直感だが、他の誰かだろう。
GID00092771	これが最後の警告だ、Butz 現場マニュアルのなかに漫画をみつけた、馬鹿にするなよクソッタレ 次にサボってたら懲戒を出して休み時間にEmitter arrayを磨かせるぞ
GID00092772	-Dr. Calis
GID00092773	このテストのパラメーターは現在、不完全です。 犬に注意してください。
GID00092774	このホロテープにはGuns Skill BookのWorkbenchレシピが記載されています。
GID00092775	このホロテープにはScience Skill BookのWorkbenchレシピが記載されています。
GID00092776	このホロテープにはSneak Skill BookのWorkbenchレシピが記載されています。
GID00092777	このキャンプはSignal Hillの頂上に建造したものより素晴らしく、ラジオ塔への放送網はクリアでNorth Tunnelで有利な場所にある ロボットが来る前にタレットとトランスミッターを配備し、リモート経由で脱出用列車をコントロール可能にせよ 故障したセキュリトロンを防衛線に置き、センタードームの脳が制御不能なセキュリトロンに見せかけよ
GID00092778	配達人や・・その女の痕跡がない Yangtze Campで俺は正しかったとわかった 俺は監視されてたんだ、多分俺を殺すために来たブラザーフッドの暗殺者に しかし奴らはやっちまった ロボットの攻撃の後、奴らが医療用ロボットにSEへ連行されるのを見たのさ おそらくLobotomiteになったんだ もう奴らを怖がる必要はなくなった
GID00092779	このホロテープにはSinkのロボットアシスタントの機能の詳細が記載されています。: "Central Intelligence Unit."
