GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_dlc01_description_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00076948	Christineがコンパニオンである時は、爆弾首輪が爆発するまでの時間が50%伸び、スピーカーの近くで爆弾首輪が起動するまでに短い猶予が与えられます。
GID00076949	Deanがコンパニオンである時は、毒霧の中で受けるダメージが25%減り、ダメージを受けるまでに短い猶予が与えられます
GID00076951	ElijahはこれがVeronicaへ渡るよう目論んでいたことは明らかですが、あなたは受け取るに値します。そうでしょう? [CRLF][CRLF]あなたはElijahの秘密のMelee Weapon技術を学び、クリティカルヒットは今や150%以上のダメージを与えます。
GID00076952	あなたは重装甲に全然馴染めないので、軽装甲を改造して最大の効果を得る方法を学びました。軽装甲を着ている時、クリティカル率が5%上昇します。また敵からクリティカルヒットを受ける確率が25%低下します。
GID00076953	光線は鏡のように仕上げられたあなたの鎧に反射されてしまいます!メタルアーマー着用時、Energy Weaponによる攻撃に対してDTが5増加します。さらにサングラスを着用するとDTが2増加します。
GID00076954	あなたはショットガンで攻撃する際に相手を時々ノックダウンさせる技術を習得しました。
GID00076955	不潔な生活のため、あなたは穀潰しの秘密を学びました! [CRLF]中毒耐性 +25%。Snack FoodでのHealth回復量 +50%。Scotch、Vodka、Wine は今や通常の効果に加えてHealthが回復します。
GID00076956	サバイバルは発明の母! リロードベンチで代替材(廃棄部品とブリキ缶)を使用して弾薬を製作できます。
GID00076960	あなたはGhost Peopleに冷酷かつ効率よく対処します。彼らは気絶から立ち直ることはできません。
GID00076961	廃棄部品と核分裂バッテリーの酸を使った自販機用の偽造硬貨のレシピを学んだ。Workbenchでそれらを作成してChipと同じ様に使用してください!
GID00076962	キャンプファイアで廃材(Cloud Residue、ブリキ缶、ジャンクフード)から、+75 HP、+4 END、+2 STRの効果がある不可思議な食用物質の作り方を学びました…しかし、気をつけてください。高い習慣性もあります(中毒の確率 15%)。
GID00076963	Sierra Madre Chipsをたくさん集めた。
GID00076964	Sierra Madre Vending Machinesを使用した。
GID00076965	10人のHarvestersを殺した。
GID00076966	10人のSeekersを殺した。
GID00076967	10人のTrappersを殺した。
GID00076968	毒を使用した。
GID00076969	あなたは鍛えていましたか? 10ポンドより重い武器は、今やあなたにとって半分の重さです。(MODで10ポンド以下に軽量化された武器には適応されません)
GID00076970	Hobbler perkがあると、V.A.T.S.時に敵の脚部への命中率が大幅に上昇します。
GID00076971	Deanの秘密のスーツケースを見つけた。
GID00076972	Sierra Madre Hologramsに20回気付かれた。
GID00076973	Dean Domino、Christine、Dog...そしてDogの内なる者を雇った。
GID00076974	Sierra Madre Galaイベントを全てこなした。
GID00076975	Sierra Madre's VaultでFather Elijahと対面した。
GID00076976	Father ElijahをSierra Madre Vaultで助けた。
GID00076977	コンパニオンを全員助けた。
GID00076978	コンパニオンを全員殺した。
GID00076979	Sierra Madreは運命が見つかる伝説の黄金都市という、Mojaveの伝説に過ぎないと思われていた。
