GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_dlc03_note_en.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00092759	This holotape contains robot and Nightstalker splicing data that can be used at the X-8 Bio-Mechanical Splicing Terminal.
GID00092760	The Y-17 Trauma Harness has succeeded beyond our wildest expectations! The test harnesses were able to take over the motor functions of an injured subject and "walk" them back to home base.
GID00092761	We'll have to see what develops once it's recorded enough neuro-auto-muscular movements to display a wider range of behaviors... to think, if they could be programmed to replicate a wearer's shooting or fighting reflexes, we'd have something truly amazing for the war effort!
GID00092762	For this test, you must steal a document in the Administrator's office without being detected by the patrolling robots. A successful run will award an item in the Supply Cabinet.
GID00092763	Success - Reach the Administrator's office and steal the document, without being detected.
GID00092764	Failure - Detection.
GID00092765	I heard one of the execs mention that whether Sinclair knew it or not, the Sierra Madre would be a "test case" for the Auto-Doc and the Innovative Toxins research. Maybe they were joking, but even that kind of a joke sends a chill down my spine... if I got poisoned by one of those toxins, no way would I crawl inside one of the Y-17 Auto-Docs here if my life depended on it. The medical tech for those trauma suits alone makes me wish they'd erase their research - the suits do more thinking than the people inside them.
GID00092766	In light of the large number of fatalities due to the latest shipment of experimental test subjects, the shipping department is going into lockdown. I give you my personal assurance that as soon as this plague of monsters has been dealt with, I will work overtime to get your deliveries to you in a timely and efficient manner. As I am currently the only surviving member of the shipping department, however, there may still be some delays. Until then, Dr. Calis in X-13 has the passcard for the area.
GID00092767	Skippy, Sole Survivor
GID00092768	While setting up the radios to monitor Dome and robots, thought I saw glint (scope?) from the building on other side of compound.
GID00092769	Should check it out, make sure I'm not being watched... might be that Courier?
GID00092770	Still, he would have come straight up rather than hiding. Instinct says it's someone else.
GID00092771	This is the last time I'm going to warn you, Butz. I can see that comic book poking up out of your field manual. You don't fool me, asshat. Next time I catch you slacking, I'm writing a disciplinary notice and you can spend your free time polishing emitter arrays.
GID00092772	-Dr. Calis
GID00092773	The parameters for this test are currently incomplete. Beware of dog.
GID00092774	This holotape contains a Workbench recipe that allows you to make a Guns Skill Book.
GID00092775	This holotape contains a Workbench recipe that allows you to make a Science Skill Book.
GID00092776	This holotape contains a Workbench recipe that allows you to make a Sneak Skill Book.
GID00092777	This camp's better than the one I set up on top of Signal Hills roof, clear broadcast line to its radio tower and good vantage point on North Tunnel. Set up a turret perimeter and transmitter, should be able to control the trains via remote to escape before any robots come. The broken Securitrons make a good defense line, apparently brains in center Dome can't control them like they do the others.
GID00092778	No sign of Courier - or that woman. Turns out I was right at the Yangtze Camp, I was being watched there, probably Brotherhood assassin out to "sentence" me. She got hers, though. After the robot attack, saw her get hauled away to the SE by medical robots... probably joined the Lobotomite ranks here, don't have to worry about her anymore.
GID00092779	This holotape contains the functionality profile for the Sink robotic assistant: "Central Intelligence Unit."
GID00092780	Kudos for the bean pod addition for the VR Sim. I like the Jack and the Beanstalk reference, buddy! I hope Calis doesn't throw a fit. Watch your back with that guy. He's always been more than a bit wound up about simple stuff. I had to move my Battle Brew setup over to X-12's storage room after he threw a prohibitionist fit about it to the Leads.
GID00092781	-Mori
GID00092782	Until further notice, please do not enter the Residential Cyberdog Test area, or conduct any experiments using it. The Cyberdogs are still being programmed, and any disturbance could have dramatic influence on their progress. Restricting access in this fashion should also help to avoid any repeats of Incident: PLAYTIME, settlements for which are coming directly out of our budget.
